Row Labels,Sum of critical + direct,entity_type
Vicki Mendolia,0.0,PERSON
STEPHEN YODER,0.0,PERSON
Vicky Martin,0.0,PERSON
Steve Bundy Priscilla Tatum,0.0,PERSON
Violet Veitschegger,0.0,PERSON
STEVE FARMWALD LEONA FARMWALD,0.0,PERSON
VIVIAN WILSON,0.0,PERSON
STEVE LASATER,0.0,PERSON
Wallace L Wagler,0.0,PERSON
Steve Lengacher,0.0,PERSON
SHERRY SKINNER,0.0,PERSON
Wanda Walker,0.0,PERSON
Steven & Jennifer Sanders,0.0,PERSON
Steven A Graber,0.0,PERSON
Wayne Gingerich,0.0,PERSON
STEVEN ALBERT,0.0,PERSON
Wayne R Troyer,0.0,PERSON
Steven Bontrager,0.0,PERSON
Wendy Crim,0.0,PERSON
Steven Cobb,0.0,PERSON
Steven Coblentz,0.0,PERSON
Wilbur L Bontrager,0.0,PERSON
Steven Eash,0.0,PERSON
Willard Helmuth,0.0,PERSON
STEVEN JAMES KNEPP,0.0,PERSON
William Clarke Kathy Clarke,0.0,PERSON
Steven L Yoder,0.0,PERSON
WILLIAM FLEMING PHYLLIS FLEMING,0.0,PERSON
STEVEN LAPP,0.0,PERSON
WILLIAM P. SMITH,0.0,PERSON
Steven Lehman,0.0,PERSON
WILLIAM WAGLER DARVIN WAGLER ROSETTA WAGLER,0.0,PERSON
Steven M Zehr,0.0,PERSON
Willis Graber Glenn Graber Amos Graber,0.0,PERSON
Steven Miller,0.0,PERSON
Simon Miller,0.0,PERSON
Steven Miller & David Miller,0.0,PERSON
Tom Steffensmeier Carla Steffensmeier,0.0,PERSON
Steven Miller Vonda Miller,0.0,PERSON
TONI JONES WENDY JONES,0.0,PERSON
Steven N Graber,0.0,PERSON
Tonya Nelson,0.0,PERSON
Steven Petersheim,0.0,PERSON
Tosha Spears,0.0,PERSON
Steven R Troyer,0.0,PERSON
Tracy Everett,0.0,PERSON
STEVEN SAUDER,0.0,PERSON
Steven Sensenig,0.0,PERSON
Travis L Smith,0.0,PERSON
STEVEN SOMMERS,0.0,PERSON
Steven Yoder,0.0,PERSON
Steven Zimmerman,0.0,PERSON
Sherry Strickland,0.0,PERSON
Trista Whittle,0.0,PERSON
Stevie Stoltzfus Abram Stoltzfus Bertha Stoltzfus,0.0,PERSON
Stiehl C. Wilson,0.0,PERSON
Ulis Tucker,0.0,PERSON
Valerie Anderson,0.0,PERSON
Vanessa Watts,0.0,PERSON
VERDA KNEPP JACKSON KNEPP,0.0,PERSON
Vern Huse,0.0,PERSON
Sue Chaney,0.0,PERSON
VERNA YODER,0.0,PERSON
Sue Gregory,0.0,PERSON
Sue Henderson,0.0,PERSON
Vernon E Miller,0.0,PERSON
Sue Shold,0.0,PERSON
Vernon Miller Verda Miller,0.0,PERSON
Vernon W. Miller,0.0,PERSON
Vicki + Bobby Shebiel,0.0,PERSON
Vickie Aaron,0.0,PERSON
Sierra Green,0.0,PERSON
Victor McShan,0.0,PERSON
Sherry Tackett,0.0,PERSON
Virginia Bray,0.0,PERSON
Sherri Roy,0.0,PERSON
Vona Mc Dougal,0.0,PERSON
SUNDEE HUME JOSHUA HUME,0.0,PERSON
Walter Schmidt,0.0,PERSON
Wayne Bontrager,0.0,PERSON
Wayne E Miller,0.0,PERSON
Wayne Isom,0.0,PERSON
WAYNE MULLET,0.0,PERSON
WAYNE WALKER,0.0,PERSON
Sherry Crossno Steve Crossno,0.0,PERSON
Wilbur & Ruby Helmuth,0.0,PERSON
WILBUR SCHROCK,0.0,PERSON
Sherri Gillum,0.0,PERSON
Willard Borntrager Esther Borntrager,0.0,PERSON
Susan Dusek,0.0,PERSON
William (Bill) Gates,0.0,PERSON
Susan Fitzgerald,0.0,PERSON
William Bradley Bonham,0.0,PERSON
Susan Francis Richard Francis,0.0,PERSON
Simon J Schwartz,0.0,PERSON
Susan Franklin,0.0,PERSON
WILLIAM FIRTH  JR. FAYE FIRTH,0.0,PERSON
SHIPLEY CANE CORSO,0.0,PERSON
WILLIAM JOHNSTON,0.0,PERSON
Susan M. Martin,0.0,PERSON
William Morland Laura Morland,0.0,PERSON
Susan Mosher,0.0,PERSON
William Rex Lovelace,0.0,PERSON
SUSAN SINCLAIR,0.0,PERSON
William Vikers Heidi  White,0.0,PERSON
Susie & Loran Schlabach,0.0,PERSON
William Younger,0.0,PERSON
Susie Haidsiak Max Haidsiak,0.0,PERSON
Willis D Knepp,0.0,PERSON
Willis Knepp,0.0,PERSON
Suzanne Harvey,0.0,PERSON
Willy and Holly Ropp,0.0,PERSON
SUZANNE HIATT,0.0,PERSON
Tom and Jody VandeWeerd,0.0,PERSON
SUZANNE LUTE,0.0,PERSON
Tom Petersen,0.0,PERSON
Suzi Livengood,0.0,PERSON
Tom Zeilstra,0.0,PERSON
TOMMY NAPIER SHELIA NAPIER,0.0,PERSON
TONI ROBBINS,0.0,PERSON
Sylvia Heimberger,0.0,PERSON
TONYA BURNS,0.0,PERSON
Sylvia Kurtz,0.0,PERSON
Shirlene Hettinger,0.0,PERSON
Tory Iverson,0.0,PERSON
TRACEY LEE,0.0,PERSON
"Tracy Cole, Cynthia Cole",0.0,PERSON
Tracy Gordon and  Chad Gordon,0.0,PERSON
Tabetha Cannon,0.0,PERSON
Travis and Betty Fanning,0.0,PERSON
TABITHA RICHARDSON,0.0,PERSON
Travis Herod And Keith Come (D/B/A CH Ventures),0.0,PERSON
TAEK JUNG,0.0,PERSON
Travis McNeely,0.0,PERSON
Taffy Tiegiser,0.0,PERSON
Trent Yoder,0.0,PERSON
TAHNEE POE,0.0,PERSON
Shirley Cook,0.0,PERSON
Tamara Brower,0.0,PERSON
TAMI NAMKEN,0.0,PERSON
Trisha Stephens,0.0,PERSON
Tammi Comer,0.0,PERSON
Troy Hughes,0.0,PERSON
Tammy Bonham,0.0,PERSON
Tru Dreem Kennel,0.0,PERSON
Tammy Burchett,0.0,PERSON
Tula Irwin,0.0,PERSON
TAMMY CLOSSER,0.0,PERSON
Twila Collins Greg Collins,0.0,PERSON
Tammy Engle,0.0,PERSON
Tammy Harsell,0.0,PERSON
Tyrell Hulshof,0.0,PERSON
Tammy Herring Denna Herring James Herring Shriver Herring,0.0,PERSON
Tammy Hulvey,0.0,PERSON
TAMMY LANE,0.0,PERSON
Valerie Benham,0.0,PERSON
Tammy Lansdown,0.0,PERSON
TAMMY ROGERS,0.0,PERSON
Tammy Spears,0.0,PERSON
VALORIE WRIGHT,0.0,PERSON
Tammy Spencer,0.0,PERSON
Velma Kurtz,0.0,PERSON
Tammy Veazey,0.0,PERSON
Vera Martin,0.0,PERSON
TAMMY WALKER,0.0,PERSON
Tammy Williams,0.0,PERSON
Tammy Wray Karol Chicken,0.0,PERSON
Verna and Daniel Byler,0.0,PERSON
Tammy Zeiger,0.0,PERSON
Verna Schrock,0.0,PERSON
Tanner Bower,0.0,PERSON
Vernetta Brengman,0.0,PERSON
Tanni Morris,0.0,PERSON
Vernon  Kauffman,0.0,PERSON
Tanya Miller,0.0,PERSON
Tanya Strickland,0.0,PERSON
Vernon Detweiler,0.0,PERSON
Tanya White,0.0,PERSON
Vernon Lambright Kathryn Lambright,0.0,PERSON
Tara Baker,0.0,PERSON
Vernon M. Miller,0.0,PERSON
Tara D Baker,0.0,PERSON
Vernon Troyer,0.0,PERSON
TD Kennels,0.0,PERSON
VERNON WEAVER,0.0,PERSON
VERNON ZIMMERMAN,0.0,PERSON
TEAHNA OGLESBY,0.0,PERSON
Vicki Deseive,0.0,PERSON
Shirley Freeman,0.0,PERSON
Vicki Tidwell,0.0,PERSON
Sidney Hostetler,0.0,PERSON
Telisia Strong,0.0,PERSON
Vickie J Duryea,0.0,PERSON
Vicky Hensley,0.0,PERSON
TERENCE SERR SHIRLENE SERR,0.0,PERSON
Victor Graber,0.0,PERSON
Teresa and or Rod Latta,0.0,PERSON
Victor S Wagler,0.0,PERSON
Teresa Berthelson,0.0,PERSON
Victoria Stigall,0.0,PERSON
TERESA CAMPBELL,0.0,PERSON
Violet Earl,0.0,PERSON
Teresa Cassinger,0.0,PERSON
Virgil and Ruthie Snodgrass,0.0,PERSON
Teresa Cloud,0.0,PERSON
Teresa Follin,0.0,PERSON
Virginia Mathews,0.0,PERSON
Teresa Fox,0.0,PERSON
Vivian Sanders,0.0,PERSON
Teresa J Taylor,0.0,PERSON
Vonda Hawkins,0.0,PERSON
SHIRLEY SMITH,0.0,PERSON
Wade Bearden Mike Bearden,0.0,PERSON
Teresa Neal,0.0,PERSON
Teresa Panzer,0.0,PERSON
SHIRLEY WALTERS MELVIN WALTERS,0.0,PERSON
TERESA SMITH GLENN SMITH,0.0,PERSON
Teresa Williams,0.0,PERSON
Terisa Winters Steiber Alan Steiber,0.0,PERSON
Walter & Carol Harris,0.0,PERSON
